respid,Reason for choosing third profile (Korean),Reason translated
449,한국 이민에 대한 의지가 있는 사람 같아서,Because they seemed like someone who is willing to immigrate to Korea
451,두 사람다 적당해 보인다.,Both seemed appropriate
452,"지리적으로 먼국가에서 왔기때문,",Because they came from a geographically far country
453,국내인력보호,Protect of domestic workers
454,이민의 목적이 확실해야함,Their objective for immigrating must be certain
455,"출신국, 이민 사유가 마음에 든다",I like their country of origin and reason for immigrating
456,교육,Education
457,이ㅡㄴ전,
458,직장이 보장된것같아서,Because their job seems guaranteed
459,안정적인 직업과 재국 이유가 확실한것 같아서,Because they have a stable job and their reason for immigrating is certain
460,국익과 안전,National interest and safety
462,대한민국에대한 관심,Interest in South Korea
463,한국에서 살기를 원하는 사람을 우선으로 지원해 줘야 한다,We must support people who wish to live in Korea
464,취업확실예정자라서,Because their employment is certain
465,한국어 실력 및 기술,Ability to speak Korean and skill
466,한국어실력 및 재정착,Ability to speak Korean and resettlement
467,확실한 직업의식,Definite work ethic
469,별다른 이유는 없음,No particular reason
470,한국어 능숙과 직업,Korean language fluency and occupation
471,djqtdma,djqtdma
468,느낌적으로,Based on my feelings
115,신뢰,Reliability
472,"언어의 문제, 이민의 동기(망명, 학업, 취업 등) 인종 및 동포 여부","Issue of language, motive for immigrating (asylum seeking, education, work, etc.), ethnicity, and whether they are ethnic Koreans"
473,없음,None
475,유창한 한국어,Fluent Korean
476,민족적 폐쇄성이 높은 우리나라에서 북한사람은 그나마 우리문화에 적응하기가 쉽다,"In our ethnically closed country, it is easier for North Koreans to adapt to our culture"
477,여성,Female
479,그냥,Just because
480,한국어구사능력 및 취업기준,Ability to speak Korean and employment standards
481,동포인경우와 우리나라 언어의 유창성,If they are an ethnic Korean and fluent in Korean
482,신뢰가 간다,I trust them
483,타국인중 우리나라를 더 좋아하는 나라의 이민 후보자를 선택하였음,"Of the foreigners, I chose an immigrant candidate from a country that liked our country better"
484,"사회 내에서의 정착에 대한 의지가 취업 여부, 언어 시도 여부에서 엿보았다.",Whether employment is a reason for settling in society and whether they attempted to learn the language
485,전문직,Professional
486,출신국가와 언어사용 능력때문에,Because of their country of origin and their ability to speak the language
487,한국말 사용 여부,Whether they can speak Korean
488,싫음,I don't like
489,한국내 중국인 진찰에 유용할거 같고 전문직이라,I think they will be helpful for treatment of Chinese people in Korea and because they are a professional
490,이슬람교도는 위험해서,Because Muslims are dangerous
491,구직계획이 있어서,They have employment-seeking plans
492,연구원,Researcher
493,우리나라에서의 적응 가능성 및 기여도를 고려,I considered whether they would be able to adapt to our country and the level of contribution they can provide
494,위험의 척도,Measurement of risk
495,노력하는 모습이 보여서,Because I can see their efforts
496,의사소통이 무엇보다 중요하다고 생각해서,Because I think communication is the most important
497,재정착이며 서투르더라도 한국어를 사용할 줄 알기 때문,"Because they will resettle and though their Korean is not fluent, they can use it"
500,아는 지인중에 탈북자가잇기 때문에 북한 사람에 대한 인식이 좋다,"Because I have a defector acquaintance, my perception of North Koreans are good"
501,한국사회에 적응을 잘할것 같아서,Because I think they well settle well in Korean society
503,한국문화에 쉽게 적응할 수 있을 것 같아서,Because I think they will adapt easily to Korean culture
504,예멘 보다는 일본인이 조금은 더 믿을만함,The Japanese person is a little more trustworthy than the person from Yemen
505,망명을 원하고 있어서 실제로 살아갈 터전을 원하고있고 직업도 확실하고 같은 동포이기 때문이다,"Because they want to build a place to live ask they are seeking asylum, have a solid job, and they are an ethnic Korean."
506,믿응이 간다,They seem trustworthy
507,없음,None
508,유창하지는 않지만 한국어를 배운 상태라 의사소통이 가능 할 것 같아서,"Because although their Korean is not fluent, they learned it and communication will be possible"
510,구직 계획 있음,They have employment-seeking plans
512,도움이 더 되는 쪽으로 생각했다,I chose the candidate who would be more helpful
513,언어가 통해야지,We must be able to communicate
514,의사라는 직업은 중요한 직업이라 생각해서 선택하였습니다,I chose this person because doctor is an important profession
516,"예멘은 선호하지 않고, 북한동포는 선호하며, 한국에 이민왔을때 정서적, 종교적 영향을 미치지 않을것 같은 사람을 선호합니다. 공부를 많이하고 한국어를 해도 범법자나, 자신의 나라의 종교, 예의범절, 슴관, 음식등을 고집할수있는 사람이라면 이민허가를 고려해봐야한다고 생각합니다. 한국이 살기좋은 나라, 아이낳고 싶은 나라가 되기를 바랍니다. 모두 한국을 떠나 이민을 가고 싶어하니까요. 오히려 다른 나라 사람으로 한국을 채울경우 그래도 한국인의 정서가 유지될수있는 사람이면 어떨까합니다.","I do not like people from Yemen. I prefer North Korean ethnic Koreans. I prefer people that will not have an emotional or religious affect after they’ve immigrated to Korea. Even if they have a high level of education and can speak Korean, if they are law breakers or if they may cling to the religion, rules of decorum, customs, and food of their country, we need to consider whether we want to allow them to immigrate. I hope that Korea will be a good country to live in and have children in. Because everyone wants to immigrate away from Korea. If Korea is to be filled with foreigners, I would like them to be people who can preserve what it means to be Korean."
515,망명사유에 따라 다르겠지만 정치적이나 사회적 핍박을 벗어나기 위한 망명에 대해서는 물의를 일으키지 않는 선에서 받아주는것이 옳다고 생각한다,"It will be different depending on the reason for seeking asylum, but if the reason is to escape political or social persecution, I think it’s right to accept them as long as it does not cause public criticism."
517,"한국어 능력, 취업여부 등","Korean language capacity, job qualificiations etc."
519,동포인지 먼저 확인하고 선택했다,I confirmed they were an ethnic Korean and made my choice
520,신분보장,Status security
521,취업계획 완료,Employment plans
522,생계를 위한 이민이라,They immigrated for their livelihood
523,여성 농업인,Woman farmer
524,동포라는 이유가 제일 큰거같다,Main reason is that they are an ethnic Korean
525,"고용주와 계약 완료를 하였고, 우리나라 언어를 구사한다는 점",Have a contract with employer and speak Korean
527,목적이 보임,Clear purpose
529,한국어 사용 유무와 직업,Korean language capacity and occupation
530,미국,America
531,망명은 생명과 직결 될것 같으므로 취업보다는 우선하여야 할것 같아 선택,"Asylum is directly related to life, which should take priority over employment"
532,"여행을다녀와서,이해함.",I understand they are only here for a vacation
533,어느정도 한국어 소통이 가능하고 유망해 보인다.,It seems promising that they can communicate somewhat in Korean
534,우리나라에 해가 덜될것같은사람을 선택,I chose someone less likely to harm our country
535,될것같아서,It will seemingly work out
536,안전할것 같다,They seem safe
537,내 주관적 느낌으로,My subjective feeling
538,없음,None
539,우리나라에서 적응이 빠르것 같아서,They will integrate quickly into our country
540,목적이 분명하고 문제가 일어나지 않을거 같아서,Purpose is clear and there isn't likely to be any problem
541,한국말이 가능하고 고용계약이 되있음,Korean language capacity and employment contract
542,직업상 좋다,Occupation is good
543,계약 완료,Has an employment contract
544,확실한 구직활동을 목적으로 하므로,Clear purpose in looking for employment
478,구직계획있으므로,Has employment plans
545,사회적 약자,Disadvantaged
546,앙숙이지만 저들을 안받아주기에는 너무 너그럽지 못하단 생각이 듭니다.,"This is a bit hostile, but I don’t think I am generous enough to accept them."
547,일본인이니까,Because they are Japanese.
548,딱히 선호하는 것은 아니고 두분다 이민을 받아들여야 한다고 생각함,"I don’t really like them, but I think that both people should be accepted for immigration."
549,"직업이 연구과학자이고, 취업까지 완료된 상태였다. 언어적인 부분이 걸리지만 장기적으로 봤을때 한국에 도움이 될수 있는 사람이라고 생각을 했기 때문","They were a science researcher and already had a job. Their language skills were not great, but in the long term, I think this person may be helpful to Korea."
550,좋음,Good
551,한국어가 유창하다 의사로서 활동하려면 한국어가 가능한 사람이 진료에 훨씬 효과적이다,"Their Korean is fluent. To be a doctor, someone who can speak Korean will be much more effective during treatment."
553,이미 한국에서 일에 관한 계약을 맺어서,They have made plans to work
554,테러위험이 없어보인다,There doesn't seem to be any threat of terrorism
555,더 조건이 안좋은 상황,The conditions could be worse.
556,한국어 능력 이 있어서,Because they have Korean language capacity
557,고도 기술력을 가져서,Because they have high technical skills.
558,먼저 이민와서 정착하려는 목적이 국내에 부합해야하며 한국어를 익히려는 노력이 엿보여야하고 거주시 본국과 별개로 다른 문화에 융화하려는 노력이 있어야함,"First of all, their objective of immigrating and settling here must be appropriate for South Korea. They must show their efforts to learn Korean, and there must be effort to integrate with other cultures apart from their own."
559,민족,Ethnic Korean
560,미국보다는 중국이 더 나음,China is better than the United States
561,안전성,Stability
562,신뢰도,Reliability
563,도움이 되는 사람들,Someone who is helpful
564,같은 민족이기에,Because they are ethnic Korean like us
565,같은 민족이니,Because they are ethnic Korean like us
566,한국어가 유창함,Their Korean is fluent
567,유창한 한국어 실력,Fluent Korean
568,우리나라에서 문제를 일으킬것 같지가 않다,I don’t think they will cause problems in out country
569,"우선 한국어 가능 여부를 우선시했고, 그 다음은 기술 그다음 동포여부를 가림","First, I prioritized their ability to speak Korean, then their skills, and then whether or not they are ethnic Korean"
570,여성이라서,Because they are female
572,일본은 우리의 주적이니까요,Because Japan is our main opponent
573,믿음이 가서,Because I trust them
576,우선은 동포나 이민자 위주로 선택권을 주는게 국내 노동자들도 보호하고 서로 상생할 수 있는 기회라고 생각함.,I think giving preference to ethnic Koreans or immigrants will protect domestic workers and provide an opportunity for them to live together.
579,최근 한국으로 인입 되는 외국인의 사회적 문제가 많이 발생되어 그것을 초점으로 선택함,"Recently, there have been many social issues related to foreigners coming into Korea, so I made my decision based on this"
580,의사 동포 재정착,"Doctor, ethnic Korean, resettlement"
581,"확실한 고용승계, 국적고려","Clear job security, consideration of nationality"
582,소통의 가능성,Ability to communicate
583,"취업, 한국어 노력","Employment, efforts to learn Korean"
584,북한사람보다 훨씬 믿음직 스러워서,Because they are much more reliable than North Koreans
586,"이민자체를 허가하지 않는쪽 입장이긴 한데, 둘중에 굳이 한쪽을 고르자면 여성쪽을 선택했습니다. 제가 여자라서.","I am leaning towards not allowing them to immigrate at all, but if I had to choose one between the two, I will choose the woman. Because I'm a woman."
587,취업처가 예정되어있음,They have a job
588,조금더 우리나라에 도움이 되는 사람을 뽑고자함,I wanted to select someone who would be more helpful to our country
589,조금 더 끌려서,I was drawn to them more
590,북한 출신,From North Korea
591,망명이니까,Because they are seeking asylum
592,한국에서 제대로 일을 하고 사회 일원으로서 살아갈 의지가 있어서,Because they have the will to work in Korea and live as a member of society
593,,
594,망명은 생명의 위험때문으로,Because asylum seekers face danger
595,그냥,Just because
596,취업목적에 한국어를 할줄 알아서,They have employment objectives and they know how to speak Korean
597,잘 모르겠음,I’m not sure.
600,우리나라에 도움이 될것 같아서,Because I think they will be helpful to our country
602,국내에 도움이 되는지 1순위 고려,I first considered whether they will be helpful to Korea
604,출신국가도 괜찮고 과학에 도움이 될 것 같아서,"Because their country of origin was okay, and I think they will be helpful to science"
605,고용주와의 계약 완료,They already entered into a contract with their employer
607,"프로그래머의 경우, 한국어를 유창하게 할 필요가 없을 수 있어서",Because programmers don’t necessarily need to speak Korean fluently
608,구직활동을 당장 할수있기에,Because they can look for employment right away
609,의사소통의 가능,They can communicate
610,교사,Because they are a teacher
611,"어차피 동포이고, 적응하려면 시간이 걸리겠으나, 적응할 수 있으리라 생각한다.","They are an ethnic Korean and although it will take time to adapt, I think they will be able to adjust"
612,구직 경제활동여부,Whether or not they are seeking work
613,안전을 보장할 수 있어서,Because safety can be guaranteed
614,한국어 활용 가능 여부,Whether they can speak Korean
615,동포,Ethnic Korean
617,서툴더라도 한국어를 할 줄 안다는 것.,"Even if it is not fluent, they can speak Korean"
618,한국 사회에 기여 가능 여부,Whether they will contribute to Korean society
619,적응의지여부,Whether they are willing to adapt
621,그냥,Just because
622,우리 동포라서,Because they are ethnic Korean
623,유창한 언어 능력,Fluent language skill
624,한국어 구사,They have a command of the Korean language
625,안정감있어서 선택하게 되었습니다.,I chose them because it seemed like the safe choice
626,모두 선호하지는 않지만 일본은 이미지가 싫어서 굳이 섡택해야 한다면 일본인이 아닌사람,"I don't like either choice, but if I had to choose, I would select the person who is not Japanese because I don't like Japan"
627,직업이 의사라서.,Because they are a doctor
628,정착에 별 어려움이 없을 것 같아서,Because I don’t think they will face much difficulty when settling
629,이유,Reason
630,한국 말을 할수 있으며 의사 직업을 가지고 있음. 또한 취업 면접까지 된 상태로 이민의 자격이 충분하다고 봄. 다만 망명의 사유는 확인이 되어야 함.,"Can speak Korean and is a doctor Also, they passed the interview for a job, so I think they are qualified to immigrate. However, I think their reason for seeking asylum must be confirmed."
631,어느정도 익숙한 사람이 맞는 것 같다,I think whoever is more familiar is the right choice
632,,
633,북한동포,Ethnic Korean from North Korea
634,오른쪽 후보자보다는 조금은 한국에 이민하려는 성의가 보여서,This person seemed to be more sincere about their immigration to Korean compared to the candidate on the right
635,취업은 국내 정착을 용이하게 한다.,Employment makes settling here easy.
637,북한 출신 동포,Ethnic Korean from North Korea
638,이유는 없습,No reason
639,경력이 좋은 사람을 이민 후보자로 선정하기 좋기 때문,It’s good to select someone with good work experience
643,선호는 아니지만 고급인력이면 필요할수도,"I don’t prefer them, but if they have a high skilled job, they may be needed"
644,우리나라에필요함,They are needed for our country
645,필요한 업종,Required job
646,잘 적응 할수 있을 것 같아서,Because I think they will be able to settle well
648,이슬람이 아닌 사람을 더 원해서요,I want someone who is not Muslim
44,직업이 마음에 들어서입니다.,Because I like their job.
649,"직업, 한국어가능여부","Employment, whether or not they can speak Korean"
650,선진국에서 온 이민자가 더 좋을것 같아서,I think an immigrant from an advanced country will be better
651,한국에 이민이 아니고 공부를 하러 오기때문,Because they are coming to Korea not to immigrate but for education
652,민족성 및 나라의 선호도,Ethnicity and country preference
654,자국민에게도 도움이 되며 국가에도 도움이 된다고 생각합니다,"They will be helpful to other citizens, and therefore also the country"
656,모르겠네,I don’t know
657,그냥마음에들어서,I just liked them
658,일본 미국 싫다,"I don’t like Japan, USA"
659,한국어가 유창하다는 것은 한국에 관심도를 보여줌,That their Korean is fluent shows that they are interested in Korea
660,적응력이 높음,High adaptability
663,마음에들어서,Because I like them
664,모르겠다. 그냥 돕고 싶었다.,I don’t know I just wanted to help them
665,동포,Ethnic Korean
666,직업이 의사이고 한국말을 할 수 있다는 점,They are a doctor and they can speak Korean
667,문화의 유사성,Cultural similarities
669,안정적인 직업,Stable employment
670,언어가 가능하고 한국에 정착 가능한 기술직,They can speak the language and they have a technical job that will allow them to settle in Korea
671,저희 한국오는게 목적의식이 뚜렷해보이고 취업을위해 한국에오니까 기회를 주고싶어서 선택을 하였습니다 !,I wanted to give them a chance because their objective for coming to Korea is clear and they are immigrating for employment reasons so I selected them!
672,확실한 신원,Definitive identity
674,호감도,Affinity
675,장기간 한국 사회에 거주하면서 사회에 동화되어 살아갈 대상,They will live in Korean society for a long time and assimilate
676,동포,Ethnic Korean
678,무슨 이유에서 그런건지는 확실히는 모르지만 일단 망명이라고 하면 거부감이 들기 때문에 그 부분이 1순위고 어차피 올거라면 한국어를 유창하게 하는 사람이 왔으면 하는 바램.,"I'm not sure of the reason, but if they are seeking asylum, I don't feel comfortable with it so this was considered first. If they are coming to Korea anyways, I would prefer someone who can speak Korean fluently."
679,둘다잘모르겠다,I'm not sure about either
680,정치적 성향이 괜찮아요,Their political disposition is okay
681,언어가 가능해서 적응 하는데 좀 더 쉬울 것 같아서,"Because they can speak Korean, I think they will more easily adapt"
682,"한국어 구사능력, 구하고자 하는 직업","Ability to speak Korean, and employment seeking"
683,우선 의사소통에 문제 없고 유창한 한국어를 사용한 다는 것은 이미 대한민국의 문화를 이해한다고 판단 함,"First of all, if they can communicate without any problems and speak Korean fluently, it means that they already understand Korean culture"
684,목적의식이 없이 이민을 와서 실패할 경우 기존한국사회에 피해를 입힐 것 같아서 그나마 그렇지 않은 기준에서 선택,"If they have no objective and fail after immigrating, I think they will be harmful to the existing Korean society. Thus, I chose someone who would not do that."
685,의사이고 그래도 좀 많이 배웠으니까,They are a doctor and well educated.
688,한국사회에 섞여 그나마 문제를 덜 일으킬것같은 타입,I think their type will mix into Korean society and cause less problems
689,기피하는 업종에 인력이 증가하면 좋을듯 싶어서,Because I think it will be good if the workers increase in an industry that is shrinking
690,구직 활동을 확인하였음,Their employment seeking activities are confirmed
691,한국 경제에 도움이 될 것 같아서,Because I think they will be helpful to the Korean economy
692,한국어를 조금이라도 할 수 있느사람이 적응하기 쉬울 것 같아서,Because I think the person who can speak even a little bit of Korean will have an easier time adjusting
693,동포적인면과 전문성있는기술,Because they are ethnic Korean and they have a professional job
694,한국어가 가능하므로,Because they speak Korean
695,동포,Ethnic Korean
294,한국말을 하려고 노력했기 때문,Because they tried to learn Korean
696,후보2보다 더 안전할 거 같아서,Because they are the safer choice compared to the second candidate
698,이민자 정책을 좀더 알것같아서,Because I think they will know more about immigration policies
699,중국 보다 나아서,Because they are better than a Chinese person
700,"국내에 들어와서 생산적인 일을 하는사람, 어딘가에 속한 사람을 신뢰할 수 있을것같음","Someone who will be productive when they come to Korea, and someone who is affiliated with some place is more trustworthy"
702,구직활동이 확정되어 있기 때문이다,Because their employment seeking activities are confirmed
703,동포,Ethnic Korean
704,전문적인 직업이 존재해서,Because they have a professional job
19,국적이 좀 꺼려진다,I don't like their nationality
706,재정착 한국 고용주와 계약완료,"Resettlement, entered into a contract with a Korean employer"
709,일본에서의 망명은 거부시 어려움이 클 것으로 생각됨,Asylum seekers will face a lot of difficulties if they are rejected in Japan
710,가치 있는 이민자가 오기를 바랍니다.,I hope that a valuable immigrant will come.
711,망명자라서?,Because they are an asylum seeker?
712,"출신국, 한국어 능력, 고용여부","Country of origin, ability to speak Korean, employment"
714,더 많은 도움이 될것 같아서,Because I think they will be more helpful
715,이주사유,Reason for migrating
716,한국사회에 필요할 것 같아서,Because I think they are needed in Korea
717,더 간절해보였음.,They seemed more earnest
718,우리나라에 유익이될것 같아서,Because I think they will be a benefit to our country
719,북한 동포를 먼저 수용해야 한다,We must accept ethnic Koreans from North Korea first
720,직업이 더 유망하기 때문에,Because their job is more promising
724,성실성이 있어서,Because they have integrity
726,언어가 통하고 이민 목적이 확실한것 같아서,Because they can communicate using Korean and their objective for immigrating is clear
732,ㅎㅏㄴㄱㅜㄱㅇㅓㄹㅡㄹ ㅎㅏㄱㅗ ㄱㅗㅇㅛㅇㄱㅖㅇㅑㄱㅇㅣ ㄷㅗㅣㅇㅓㅆㅇㅡㅁㅡㄹㅗ,Because they can speak Korean and they entered into an employment contract
733,좋음,Good
735,2세 생산가능,
737,구직활동계획,Employment-seeking plans
738,중국이 시러서,I don't like China
742,한국 적응이 쉬울것 같아서,Because I think they will adjust to Korea easily
743,구체적인 사유 없음,No particular reason
745,더 호감이 가서,They give a more favorable impression
746,동포,Ethnic Korean
748,친숙함,Familiarity
749,둘중 한명을 꼭 골라야 된다길래 그나마 조금이라도 괜찮을거같아서,"Because I have to choose one, this candidate seemed a little better"
750,직업의 순위?,Job ranking?
753,그냥,Just because
754,언어를 조금이라도 사용하는 사람에게 우선을 주는 것이 낫다고 생각함,I think it’s better to give priority to the person who can speak at least a little bit of Korean
755,잘 모르겠음,I’m not sure.
756,정착 적응,"Settlement, adjustment"
757,구직을 통한 재정착,Resettlement through employment
758,잘 모르겠음,I’m not sure.
759,인력난이 심한 '농부' 선호,I prefer the ‘farmer’ for which there is a severe shortage of
760,취업계획이 있으므로,Because they have employment plans
761,다해주기 싫지만 둘중에 선택하라면 그렇다는 말이다 예맨은 받기 싫다,"I don't want to allow either candidate, but if I had to choose, I would rather not accept the person from Yemen"
762,구직계획이 있고 한국어 능력이 우수함,They have employment seeking plans and they have good Korean language skills
763,동포인 부분,They are ethnic Korean
764,"내 일자리를 위협하지 않고, 한국에서 사람들이 기피하는 일을 해 줄 것 같아서 입니다.",Because I don’t think they will threaten my employment and they will perform jobs that people avoid in Korea
765,좋다,Good
766,"한국민과 갗이 더불어 조화롭게 살수 있는지, 정착해서 생활이 가능한지 등을 봄",I looked at whether they can live harmoniously with other Koreans and whether they will be able to live after resettling
769,한국실정에 맞음,They are suited to Korea
772,직업이 전문직이고 고용상태가 정해져 있어 해를 끼치지는 않을꺼라 생각함 그러나 출신이 신경쓰여 고민을 많이 했다,"They have a professional occupation and their employment is determined already, so I don’t they will be harmful. However, I was concerned about their country of origin, so I thought about this a lot."
775,"중국,예멘 싫어서","I don't like China, Yemen"
776,한국사회에 도움이 될 것 같아 선택,Because I think they will be helpful to Korean society
779,선진국에서 왔으므로,Because they came from an advanced country
781,일본인은 기회가 많을것 같음,I think Japanese people will have lots of opportunity
784,"비슷한 조건이였지만 본인이 한국어를 직접사용하여 면접을 봤는지 안봤는지에 대한 기준으로 선택하였음. 중국사람의 경우 이민을 원하지만 한국어가 되지 않아 통역을 사를 이용하였으나, 북한사람의 경우 기본적인 의사소통은 충분히 가능하므로 북한사람을 선호","They had similar conditions, but I chose based on whether they conducted the interview in Korean or not. The Chinese person wanted to immigrate but they had to use an interpreter because they could not speak Korean. However, the North Korean person is fully able to communicate so I preferred them."
786,국적,Nationality
787,공부가 목적이라,Because their objective is education.
788,적응을 더 잘 할 것 같아서,Because I think they will adapt better
790,망명자,Refugee
796,한국으로 이민을 한다는 것은 곧 한국에서 산다는 의미로 해석이 될수도 있는데 그 나라에서 살기를 희망하면서 그 나라의 언어로 간단한 회화정도는 가능해야 한다고 생각하였음.,"Immigrating to Korean can mean living in Korea. If you hope to live in a country, I think you should be able to at least engage in simple conversation in that country’s language."
798,선택은 자유,Choice is free
799,직업이 우리 나라에 도움될 것 같아서,I think their occupation will be helpful in our country
800,일본 보다는 그래도 미국인이 조금은 선호함 그리고 의사가 교사 보다는 가르치는 직업이 아니니까,"I prefer an American over a Japanese person. Also, because doctors do not teach as much as educators."
806,한국어 수준을 기준으로 생각해보았습니다. 그리고 구직활동을 얼마나 했나 참고하였습니 .,I primarily thought about their language skills I also looked at how long they looked for employment.
807,없음,None
818,확실한 취업처,Clear work place
821,장기적 진실성,I think they will remain earnest/hardworking for a long time
824,출신국,Country of origin
825,의지,Willingness
826,언어소통,Language communication
827,없음,None
828,선진국가 국민이라서,Because they are a citizen of an advanced country
829,한국어 구사 능력.취업 가능성 유무,"Ability to speak Korean, possibility of employment"
835,동포,Ethnic Korean
837,특별하고 한국에 도움이 된다,They are unique and will be helpful to Korea
838,각 나라별 사람들이 모여 살면 여러가지의 지식이나 문화 기타등등 좋을것 같습ㄴ다,"If people from different countries live together I think will be good in terms of knowledge, culture, etc."
840,북한으로 부터 망명을 하는 경우엔 불허 될시 북한에서 처벌을 받게 될테니 인도적으로 허락을 해줘야 한다.,"If they are North Koreans seeking asylum, if their asylum is rejected, they will be punished in North Korea, so we must accept them from a humanitarian perspective."
841,망명과 공부 중에서 공부는 다시 돌아갈 것이기에,"Because between seeking asylum and education, those seeking education will eventually return"
842,같은동포라서,Because they are also ethnically Korean
843,능력과 인권,Competence and human rights
844,도착후에 안정적인 생활 확보,They will secure stable life after arriving
846,좋아서,Good
849,한국에서적응잘할것갓아선택했어요,I chose this person because I felt they would adjust well in Korea
851,취업계획을 중요시함. 대충와서 알아보겠다던지 무계획일경우 범죄에 악용되며 나중에 실제 범죄자가 될 가능성 있음.,"Employment plans are important If their plans are not clear or they don't have any plans, they will likely take advantage and there is a chance that they will actually become a criminal"
852,농사를지어면서생활하면되니까,Because they can make a living by farming
853,이민목적이 우리 사회에 유익 (단기근로와같이),Their immigration objectives are beneficial for our society (like short term work)
856,느낌,Feeling/sense
861,한국에서 경제활동을 할 의자가 있는 프로필 선호,I prefer the person who is willing to engage in economic activities in Korea
866,한민족,Ethnic Korean
868,선호보다는 거부감이 적은 직업과 성별,"I don’t really prefer them, but their occupation is okay and sex"
870,"여성후보자 우선인 이유 : 정착이 목적인 경우가 많음 연구개발자는 기술 이전에 도움을 주며, 프로그래머는 검증이 될수 있는 툴이 미제공되어 검증이 반드시 필요합니다. 그래서 선택을 하였습니다.","My reason for selecting the female candidate: in a lot of cases, the objective is resettlement. Someone who works in research and development will aid technology advancement. There are no verification tools in regard to programmers, so they must be inspected. That is why I chose this person."
871,이민 노,Immigration no
874,내용이 한국에 정착하려는 것 같아서 선택했습니다.,"It seemed like they were trying to resettle in Korea, so I chose them"
877,처음 신청,First application
878,한국어 가능 목적이 확실함,"Can speak Korean, objectives are clear"
881,선호하지 않는다,I do not prefer them
882,한국의 인력이 모자라므로(약간의 3D 업종?),Because there is not enough Korean workers (kind of like the 3D industry)?
885,한국어 가능,They can speak Korean
889,일단 대화 소통을 위해 한국어를 배우기 위해 노력을 햇는가 여부가 이민에 대한 의지를 보여줄 수 있기에,"I first considered whether they tried to learn Korean to communicate with others, which shows their willingness to immigrate"
890,법을 잘 준수할것 같음,I think they will follow the laws well
891,고용계약이 확실히 체결된 자,They successfully entered into an employment contract
892,구직활동 부분에 선호하게 됨,I preferred them because of their employment seeking activities
896,확실한 직업,Has a solid job
897,구직활동을 하니까,Because they are looking for a job
898,취업허가,Approval to work
900,동포,Ethnic Korean
901,왠지,For some reason
902,중국 동포는 신뢰성이 떨어짐.,I don’t trust the Chinese Korean as much
903,구직활동여부 및 조건,Whether they are looking for work and their conditions
907,국내 경제에 도움이 되는냐의 여부,Whether they will help the domestic economy
911,직업이잇자나요,Because they have a job
918,경쟁자보다 나은것 같아서,Because they are better than their competitor
921,동포라서,Because they are ethnic Korean
926,의사소통과 의도,Their ability to communicate and willingness
927,국내 정착 사유의 판단,Judgment of their reason for settling in Korea
928,한국어 사용,Korean language use
929,허가받고 우리나라에서 할계획이있어서,Because they’ve received approval and they have plans for Korea
930,"동포, 공부, 여자","Ethnic Korean, education, female"
931,국적,Nationality
933,취업 우선,Priority is given to employment
936,한국 사회에 빨리 적응할 것 같아서,Because I think they will adjust to Korean society quickly
938,전문직,Professional
941,그냥,Just because
944,특별한 이유는 없다,No special reason
945,한국어를 할 수 있으며 구직가능성이 보임,They can speak Korean and it seems they will find employment
947,한국사회에 어울려 이웃이 디기 쉽고 한국사람에게도 도움이 될수 있는 요건이 많기 때문임.,They are likely to become a neighbor in Korean society and they will probably be helpful to other Koreans
948,범죄와의 연관성이 적어 보여서,Because they seem to have little connection with crime
951,한국산업에 대한 기여도 고려,I also considered their contribution to Korean industry
953,직업,Employment
956,망명,Asylum seeker
968,유창한 한국어 전문직,"Fluent Korean, professional occupation"
971,보호해주기로,To protect them
973,확실한 근로선택때문에,Because of their clear employment choice
978,둘다 이민반대,I am against both candidates immigrating
983,일,Work
986,언어소통에 장애가 없고 간호사라는 직업에 점수를 줌,I gave them points because there were no barriers to communication and because they are a nurse
990,그냥 느낌이좋아서,I just felt good about them
991,첫번째로 망명보다는 분명한 목적이 있는 공부나 취업등이 1순위이다. 그이유는 이민자들 중 범죄가 제일 간과해야 될 부분인것 같다,"First of all, I gave priority to those with clear goals such as work or education over asylum seekers Because crime is one of the most overlooked aspect of immigrants."
992,한국어 능력과 의지,Ability to speak Korean and their willingness
998,어느 정도 자격을 갖추었다고 할까요?,How qualified are they?
1021,이유없음,No reason
1022,언어가 되어서,Because they can speak the language
1025,한민족이여서요,Because they are ethnically Korean
1027,명확한 목표가 있는것 같아보였음,Because they seem to have a clear goal
1031,정착성,Ability to settle
1032,구직활동,Employment-seeking activities
1034,우리국민이었으므로,Because they are one of us
1037,정착 후 주변과 좀 더 잘 어울리며 생활할 것 같음,I think they will get along better with others after settling
1042,취업,Employment
1047,이민에 대한 거부감이 없슴,No objection towards immigration
1048,미래,Future
1054,종교적인 제약이 있을것으로 판단함,I think there will be religious restrictions
1055,단기로만 한국을 있을 것이고 안전이 보장된 나라에서 와서.,They will be in Korea only short term and they are from a stable country.
1063,사상이 사회주의인 공산당은 믿을수도 함께할수도 없음.,We cannot trust or get along with the Communist Party which has socialist ideas.
1064,자유롭게 선택할 수 있는 배움의 기회,Opportunity to learn which can be freely chosen
1067,신속,Promptness
1068,한국어도 유창하며 구직이 완료되어있는상태이고 한국에 들어와서 정착하고 산다면 별 해가되는 일이 없어보이기 때문입니다,"Their Korean is fluent and they already have a job. If they were to come to Korea to live, I don’t think they will be harmful."
1069,일본 출신자는 안됨.,People from Japan cannot immigrate.
1073,동포,Ethnic Korean
